id	gloss	text
796	LAST-WEEK PT_PRO2 COME SCHOOL FAST	You came to school last week quickly.
797	WHY PT_PRO1 TRAIN Q	Why Do I train in the afternoon?
798	NEXT-WEEK WOMAN NOT COME SHOP	The woman will not come to the shop next week.
799	NEXT-WEEK CHILD WANT RUN	The child wants to run next week.
800	LAST-WEEK TEACHER SLEEP OFTEN	The teacher slept last week often.
801	AFTERNOON PT_PRO1 CAN LISTEN MOVIE	I can listen to a movie in the afternoon.
802	YESTERDAY DOCTOR STUDY Q	Did the doctor study yesterday?
803	AFTERNOON PT_PRO3 NOT CLEAN	They do not clean in the afternoon.
804	WEEKEND COACH NOT EMAIL MUM ALWAYS	The coach does not email my mum on the weekend always.
805	YESTERDAY PT_PRO2 DRINK COFFEE Q	Did you drink coffee yesterday?
806	MORNING PT_PRO3 WALK	They walk in the morning.
807	MORNING MAN RUN SLOW	The man runs in the morning slowly.
808	NOW TEACHER CLEAN	The teacher cleans now.
809	YESTERDAY PT_PRO3 NOT STUDY	They did not study yesterday.
810	HOW PT_PRO1 TRAIN Q	How Will I train next week?
811	YESTERDAY PT_PRO2 GO HOME ALWAYS	You went to home yesterday always.
812	TODAY PT_PRO1 EMAIL TEACHER	I email my teacher today.
813	LAST-WEEK PT_PRO3 NOT LISTEN MOVIE	They did not listen to a movie last week.
814	PT_PRO3 COME GYM Q	Do they come to the gym?
815	IF CHILD WORK THEN CHILD READY	If the child works, then the child is ready.
816	PT_PRO3 WANT COME HOME	They want to come to home.
817	MORNING FRIEND HAPPY	My friend is happy in the morning.
818	WHEN PT_PRO2 CLEAN Q	When Do you clean on the weekend?
819	WEEKEND PT_PRO1 GOOD	I am good on the weekend.
820	AFTERNOON PT_PRO3 PRACTISE	They practise in the afternoon.
821	LAST-WEEK WOMAN SEE EMAIL	The woman saw an email last week.
822	TODAY PT_PRO3 NOT SLEEP	They do not sleep today.
823	WHO PT_PRO3 TEXT Q	Who Will they text tomorrow?
824	MORNING PT_PRO1 COME BUS-STOP Q	Do I come to the bus stop in the morning?
825	TODAY DOCTOR PRACTISE	The doctor practises today.
826	AFTERNOON PT_PRO3 CLEAN	They clean in the afternoon.
827	LAST-WEEK PT_PRO1 EAT RICE	I ate rice last week.
828	LAST-WEEK PT_PRO2 COLD	You were cold last week.
829	YESTERDAY FRIEND READ MONEY	My friend read money yesterday.
830	PT_PRO1 WATCH MOVIE	I watch a movie.
831	NIGHT PT_PRO1 COLD	I am cold at night.
832	LAST-WEEK PT_PRO3 RUN OFTEN	They ran last week often.
833	TODAY PT_PRO1 RUN	I run today.
834	NEXT-WEEK PT_PRO2 MUST GO GYM	You must go to the gym next week.
835	HOW PT_PRO2 CLEAN Q	How Do you clean in the morning?
836	LAST-WEEK PT_PRO2 STUDY SOMETIMES Q	Did you study last week sometimes?
837	NEXT-WEEK PT_PRO3 WORK	They will work next week.
838	MORNING PT_PRO1 CAN NOT MEET FRIEND	I cannot meet my friend in the morning.
839	MORNING TEACHER NOT RUN	The teacher does not run in the morning.
840	NEIGHBOUR WANT HELP DAD	The neighbour wants to help my dad.
841	WHEN PT_PRO3 READ PHONE Q	When Do they read in the morning?
842	TOMORROW PT_PRO3 SEE KEY	They will see my keys tomorrow.
843	WHEN PT_PRO1 DRINK Q	When Did I drink last week?
844	YESTERDAY STUDENT STUDY	The student studied yesterday.
845	PT_PRO2 HELP NEIGHBOUR	You help my neighbour.
846	WEEKEND PT_PRO2 HELP MUM Q	Do you help my mum on the weekend?
847	NIGHT PT_PRO2 WANT NOT WORK	You do not want to work at night.
848	NOW PT_PRO3 TRAIN ALWAYS	They train now always.
849	WEEKEND COACH SEE KEY	The coach sees my keys on the weekend.
850	MORNING CHILD NOT RUN	The child does not run in the morning.
851	WEEKEND PT_PRO1 TEXT TEACHER SLOW	I text my teacher on the weekend slowly.
852	WEEKEND PT_PRO2 EMAIL COACH	You email my coach on the weekend.
853	AFTERNOON PT_PRO2 WAKE-UP	You wake up in the afternoon.
854	NEIGHBOUR NOT COOK	The neighbour does not cook.
855	YESTERDAY PT_PRO1 NOT READ EMAIL	I did not read an email yesterday.
856	NOW PT_PRO1 WORK Q	Do I work now?
857	LAST-WEEK TEACHER NOT DRINK TEA	The teacher did not drink tea last week.
858	TOMORROW PT_PRO3 NOT STUDY	They will not study tomorrow.
859	AFTERNOON PT_PRO1 WANT NOT WALK	I do not want to walk in the afternoon.
860	LAST-WEEK COACH NOT SEE MESSAGE	The coach did not see a message last week.
861	NIGHT PT_PRO2 GOOD	You are good at night.
862	PT_PRO1 WORK Q	Do I work?
863	YESTERDAY PT_PRO2 NOT COME CITY	You did not come to the city yesterday.
864	NOW PT_PRO3 GO CITY Q	Do they go to the city now?
865	NEXT-WEEK PT_PRO1 NOT TRAIN ALWAYS	I will not train next week always.
866	TOMORROW PT_PRO2 STUDY SOMETIMES	You will study tomorrow sometimes.
867	LAST-WEEK PT_PRO2 WALK Q	Did you walk last week?
868	WEEKEND PT_PRO3 WANT LISTEN PODCAST	They want to listen to a podcast on the weekend.
869	WEEKEND FRIEND NOT CALL DAD	My friend does not call my dad on the weekend.
870	NEXT-WEEK PT_PRO3 NOT COOK	They will not cook next week.
871	AFTERNOON WOMAN PRACTISE	The woman practises in the afternoon.
872	YESTERDAY PT_PRO1 NOT CLEAN	I did not clean yesterday.
873	PT_PRO3 MEET DAD	They meet my dad.
874	LAST-WEEK PT_PRO1 WATCH MUSIC Q	Did I watch music last week?
875	IF DOCTOR WORK THEN DOCTOR HOT	If the doctor works, then the doctor is hot at night.
876	HOW PT_PRO3 WALK Q	How Do they walk on the weekend?
877	WHERE MAN GO Q	Where Will the man go next week?
878	PT_PRO3 READ CAR ALWAYS	They read a car always.
879	MORNING PT_PRO1 READ EMAIL	I read an email in the morning.
880	PT_PRO2 TRAIN RARELY	You train rarely.
881	PT_PRO3 NOT SEE KEY	They do not see my keys.
882	NOW PT_PRO3 READ KEY	They read my keys now.
883	AFTERNOON PT_PRO2 WANT WALK	You want to walk in the afternoon.
884	NOW PT_PRO3 NOT TEXT MUM	They do not text my mum now.
885	WHY PT_PRO2 PRACTISE Q	Why Do you practise in the afternoon?
886	TOMORROW PT_PRO2 BUSY	You will be busy tomorrow.
887	TOMORROW PT_PRO3 MUST SLEEP Q	They must sleep tomorrow?
888	PT_PRO3 WALK Q	Do they walk?
889	YESTERDAY PT_PRO3 NOT SEE BAG	They did not see my bag yesterday.
890	WEEKEND TEACHER NOT CALL NEIGHBOUR	The teacher does not call my neighbour on the weekend.
891	MORNING MAN PRACTISE	The man practises in the morning.
892	IF WEEKEND PT_PRO2 WALK THEN PT_PRO2 BAD	If you walk, then you are bad on the weekend.
893	LAST-WEEK DOCTOR COME PARK FAST Q	Did the doctor come to the park last week quickly?
894	WEEKEND NEIGHBOUR WATCH MOVIE RARELY Q	Does the neighbour watch a movie on the weekend rarely?
895	MORNING PT_PRO1 NOT TEXT COACH	I do not text my coach in the morning.
896	TODAY PT_PRO2 MUST TRAIN SOMETIMES	You must train today sometimes.
897	LAST-WEEK PT_PRO1 READY	I was ready last week.
898	MORNING PT_PRO3 CLEAN	They clean in the morning.
899	WHO PT_PRO1 MEET Q	Who Did I meet last week?
900	AFTERNOON DOCTOR COOK ALWAYS Q	Does the doctor cook in the afternoon always?
901	HOW PT_PRO2 COOK Q	How Do you cook?
902	NOW PT_PRO3 CALL NEIGHBOUR Q	Do they call my neighbour now?
903	TOMORROW PT_PRO3 READ KEY ALWAYS Q	Will they read my keys tomorrow always?
904	WEEKEND STUDENT CLEAN OFTEN Q	Does the student clean on the weekend often?
905	AFTERNOON PT_PRO3 NOT SEE SHOES SLOW	They do not see shoes in the afternoon slowly.
906	PT_PRO1 RUN	I run.
907	NOW PT_PRO1 TRAIN Q	Do I train now?
908	NEXT-WEEK PT_PRO3 LISTEN MOVIE	They will listen to a movie next week.
909	YESTERDAY PT_PRO2 STUDY	You studied yesterday.
910	YESTERDAY WOMAN DRINK TEA	The woman drank tea yesterday.
911	TODAY NEIGHBOUR BUY KEY Q	Does the neighbour buy my keys today?
912	PT_PRO2 NOT SEE EMAIL	You do not see an email.
913	YESTERDAY PT_PRO1 NOT EMAIL DAD	I did not email my dad yesterday.
914	WHY PT_PRO2 PRACTISE Q	Why Did you practise last week?
915	TOMORROW PT_PRO3 NOT COOK SOMETIMES	They will not cook tomorrow sometimes.
916	AFTERNOON TEACHER MUST DRINK TEA	The teacher must drink tea in the afternoon.
917	MORNING TEACHER EAT PIZZA SOMETIMES	The teacher eats pizza in the morning sometimes.
918	AFTERNOON FRIEND NOT WAKE-UP	My friend does not wake up in the afternoon.
919	PT_PRO3 NOT RUN	They do not run.
920	TODAY PT_PRO2 NOT DRINK COFFEE SOMETIMES	You do not drink coffee today sometimes.
921	TODAY PT_PRO2 NOT WATCH MOVIE	You do not watch a movie today.
922	WEEKEND NEIGHBOUR DRINK WATER	The neighbour drinks water on the weekend.
923	LAST-WEEK WOMAN SAD	The woman was sad last week.
924	WEEKEND PT_PRO2 CALL COACH	You call my coach on the weekend.
925	YESTERDAY DOCTOR NOT MEET DAD	The doctor did not meet my dad yesterday.
926	NOW COACH WALK	The coach walks now.
927	NEXT-WEEK PT_PRO3 WALK Q	Will they walk next week?
928	IF AFTERNOON PT_PRO1 WALK THEN PT_PRO1 TIRED	If I walk, then I am tired.
929	WEEKEND PT_PRO3 WATCH PODCAST SOMETIMES	They watch a podcast on the weekend sometimes.
930	NIGHT PT_PRO1 CLEAN Q	Do I clean at night?
931	WEEKEND PT_PRO3 GOOD	They are good on the weekend.
932	TODAY PT_PRO1 NOT TRAIN SLOW	I do not train today slowly.
933	MORNING PT_PRO1 GO PARK Q	Do I go to the park in the morning?
934	AFTERNOON PT_PRO3 TEXT NEIGHBOUR Q	Do they text my neighbour in the afternoon?
935	WEEKEND PT_PRO3 CLEAN	They clean on the weekend.
936	NOW PT_PRO3 CAN NOT RUN ALWAYS	They cannot run now always.
937	MORNING PT_PRO2 CAN GO PARK SOMETIMES Q	You can go to the park in the morning sometimes?
938	NIGHT PT_PRO2 RUN	You run at night.
939	MORNING MAN NOT WALK FAST	The man does not walk in the morning quickly.
940	MORNING PT_PRO2 GO BUS-STOP	You go to the bus stop in the morning.
941	TODAY DOCTOR NOT PRACTISE	The doctor does not practise today.
942	IF PT_PRO3 TRAIN THEN PT_PRO3 COLD	If they train, then they are cold on the weekend.
943	LAST-WEEK PT_PRO1 CALL DAD SLOW	I called my dad last week slowly.
944	TOMORROW PT_PRO3 CAN RUN	They can run tomorrow.
945	NEXT-WEEK PT_PRO1 WANT GO HOME	I want to go to home next week.
946	NIGHT PT_PRO3 WATCH PODCAST	They watch a podcast at night.
947	WEEKEND PT_PRO3 PRACTISE	They practise on the weekend.
948	IF PT_PRO1 WALK THEN PT_PRO1 GOOD	If I walk, then I am good.
949	AFTERNOON PT_PRO3 GO WORK RARELY	They go to work in the afternoon rarely.
950	NIGHT PT_PRO1 BUY KEY	I buy my keys at night.
951	WEEKEND PT_PRO2 SLEEP	You sleep on the weekend.
952	MORNING PT_PRO3 WANT WORK SLOW	They want to work in the morning slowly.
953	WHEN CHILD DRINK Q	When Does the child drink now?
954	NIGHT DOCTOR NOT WORK	The doctor does not work at night.
955	WHO PT_PRO2 CALL Q	Who Will you call tomorrow?
956	WEEKEND FRIEND TRAIN FAST Q	Does my friend train on the weekend quickly?
957	NOW PT_PRO1 WATCH MUSIC	I watch music now.
958	WHERE PT_PRO1 GO Q	Where Do I go now?
959	HOW PT_PRO3 STUDY Q	How Do they study at night?
960	AFTERNOON PT_PRO2 MUST NOT WATCH MOVIE	You must not watch a movie in the afternoon.
961	NIGHT PT_PRO2 WORK	You work at night.
962	WEEKEND PT_PRO2 CLEAN Q	Do you clean on the weekend?
963	TOMORROW PT_PRO3 RUN FAST Q	Will they run tomorrow quickly?
964	AFTERNOON PT_PRO3 TRAIN	They train in the afternoon.
965	HOW PT_PRO1 WALK Q	How Do I walk now?
966	NIGHT PT_PRO1 TRAIN Q	Do I train at night?
967	WHO PT_PRO3 MEET Q	Who Do they meet on the weekend?
968	NOW PT_PRO2 LISTEN PODCAST	You listen to a podcast now.
969	YESTERDAY CHILD NOT READ MONEY	The child did not read money yesterday.
970	PT_PRO2 BUY MONEY	You buy money.
971	NIGHT FRIEND CAN NOT WALK	My friend cannot walk at night.
972	TOMORROW PT_PRO1 CAN READ CAR Q	I can read a car tomorrow?
973	WHAT PT_PRO3 EAT Q	What Do they eat at night?
974	MORNING WOMAN NOT MEET FRIEND ALWAYS	The woman does not meet my friend in the morning always.
975	WEEKEND PT_PRO2 NOT STUDY	You do not study on the weekend.
976	PT_PRO1 HELP COACH	I help my coach.
977	WHY PT_PRO1 PRACTISE Q	Why Do I practise on the weekend?
978	WHEN TEACHER TRAIN Q	When Did the teacher train last week?
979	NIGHT NEIGHBOUR READ MONEY RARELY Q	Does the neighbour read money at night rarely?
980	STUDENT WANT NOT CALL MUM	The student does not want to call my mum.
981	NOW PT_PRO3 READY	They are ready now.
982	YESTERDAY PT_PRO2 DRINK TEA	You drank tea yesterday.
983	NOW PT_PRO2 WORK	You work now.
984	CHILD NOT MEET NEIGHBOUR	The child does not meet my neighbour.
985	WHY PT_PRO2 GO Q	Why Will you go tomorrow?
986	LAST-WEEK PT_PRO3 READ KEY	They read my keys last week.
987	NEXT-WEEK PT_PRO1 MUST COOK	I must cook next week.
988	WEEKEND MAN SLEEP	The man sleeps on the weekend.
989	LAST-WEEK PT_PRO1 GO HOME	I went to home last week.
990	YESTERDAY CHILD MEET DAD Q	Did the child meet my dad yesterday?
991	NOW CHILD CAN NOT LISTEN PODCAST	The child cannot listen to a podcast now.
992	AFTERNOON PT_PRO3 GOOD	They are good in the afternoon.
993	LAST-WEEK PT_PRO1 WORK	I worked last week.
994	TOMORROW PT_PRO1 LISTEN MUSIC	I will listen to music tomorrow.
995	NIGHT PT_PRO1 WANT NOT MEET NEIGHBOUR	I do not want to meet my neighbour at night.
996	PT_PRO2 NOT LISTEN PODCAST	You do not listen to a podcast.
997	WHY PT_PRO1 TRAIN Q	Why Did I train last week?
998	LAST-WEEK PT_PRO1 TEXT COACH Q	Did I text my coach last week?
999	WHAT FRIEND BUY Q	What Will my friend buy tomorrow?
1000	IF PT_PRO2 WORK THEN PT_PRO2 GOOD	If you work, then you are good.
1001	TODAY PT_PRO1 BUY BOOK Q	Do I buy a book today?
1002	TODAY TEACHER HELP TEACHER	The teacher helps my teacher today.
1003	HOW PT_PRO3 GO Q	How Did they go yesterday?
1004	WHO PT_PRO1 EMAIL Q	Who Will I email tomorrow?
1005	PT_PRO3 MUST HELP MUM RARELY	They must help my mum rarely.
1006	TODAY TEACHER COOK SLOW	The teacher cooks today slowly.
1007	AFTERNOON PT_PRO3 TIRED	They are tired in the afternoon.
1008	WEEKEND PT_PRO1 NOT COOK	I do not cook on the weekend.
1009	NEXT-WEEK MAN NOT CLEAN	The man will not clean next week.
1010	AFTERNOON PT_PRO2 BUY KEY	You buy my keys in the afternoon.
1011	WHEN DOCTOR BUY Q	When Did the doctor buy yesterday?
1012	WEEKEND PT_PRO3 COME PARK	They come to the park on the weekend.
1013	WHO PT_PRO3 EMAIL Q	Who Did they email yesterday?
1014	WHO PT_PRO2 MEET Q	Who Do you meet in the afternoon?
1015	WHO TEACHER TEXT Q	Who Does the teacher text?
1016	NOW PT_PRO3 COOK	They cook now.
1017	WEEKEND DOCTOR NOT PRACTISE	The doctor does not practise on the weekend.
1018	WEEKEND PT_PRO1 CAN EAT RICE Q	I can eat rice on the weekend?
1019	MORNING PT_PRO1 GO PARK	I go to the park in the morning.
1020	LAST-WEEK PT_PRO3 CLEAN Q	Did they clean last week?
1021	AFTERNOON PT_PRO3 BUY MONEY	They buy money in the afternoon.
1022	NOW PT_PRO3 MUST MEET COACH Q	They must meet my coach now?
1023	WHY PT_PRO2 PRACTISE Q	Why Will you practise next week?
1024	TODAY PT_PRO1 CALL FRIEND	I call my friend today.
1025	WEEKEND PT_PRO3 TRAIN	They train on the weekend.
1026	TODAY PT_PRO3 GO GYM FAST	They go to the gym today quickly.
1027	TOMORROW PT_PRO2 MUST EAT RICE	You must eat rice tomorrow.
1028	LAST-WEEK PT_PRO2 WALK FAST	You walked last week quickly.
1029	NEXT-WEEK PT_PRO1 NOT DRINK WATER	I will not drink water next week.
1030	NOW COACH EMAIL NEIGHBOUR	The coach emails my neighbour now.
1031	HOW COACH STUDY Q	How Does the coach study in the afternoon?
1032	TOMORROW FRIEND SEE SHOES	My friend will see shoes tomorrow.
1033	WHO PT_PRO3 TEXT Q	Who Did they text last week?
1034	WHO PT_PRO2 HELP Q	Who Do you help on the weekend?
1035	TODAY PT_PRO3 HELP FRIEND	They help my friend today.
1036	WHEN PT_PRO2 WATCH Q	When Did you watch last week?
1037	NOW PT_PRO1 EMAIL DAD	I email my dad now.
1038	NIGHT PT_PRO2 READ BAG SOMETIMES	You read my bag at night sometimes.
1039	LAST-WEEK PT_PRO3 CALL COACH	They called my coach last week.
1040	PT_PRO2 NOT WATCH MOVIE	You do not watch a movie.
1041	NEXT-WEEK PT_PRO1 NOT TRAIN	I will not train next week.
1042	NIGHT PT_PRO2 BUY SHOES	You buy shoes at night.
1043	TEACHER HELP COACH FAST	The teacher helps my coach quickly.
1044	WEEKEND PT_PRO1 NOT EMAIL NEIGHBOUR	I do not email my neighbour on the weekend.
1045	NIGHT PT_PRO3 GO BEACH	They go to the beach at night.
1046	TODAY WOMAN NOT LISTEN PODCAST	The woman does not listen to a podcast today.
1047	YESTERDAY PT_PRO3 WAKE-UP Q	Did they wake up yesterday?
1048	NOW PT_PRO2 MUST COME PARK	You must come to the park now.
1049	MORNING PT_PRO1 WAKE-UP Q	Do I wake up in the morning?
1050	TODAY PT_PRO3 CALL DAD Q	Do they call my dad today?
1051	NEXT-WEEK PT_PRO1 PRACTISE	I will practise next week.
1052	HOW STUDENT STUDY Q	How Did the student study yesterday?
1053	TODAY PT_PRO2 TEXT FRIEND	You text my friend today.
1054	WHY WOMAN WORK Q	Why Did the woman work last week?
1055	AFTERNOON PT_PRO3 MUST EMAIL DAD	They must email my dad in the afternoon.
1056	LAST-WEEK NEIGHBOUR EMAIL COACH	The neighbour emailed my coach last week.
1057	WEEKEND PT_PRO2 PRACTISE Q	Do you practise on the weekend?
1058	TODAY DOCTOR GO HOME	The doctor goes to home today.
1059	TOMORROW PT_PRO3 MEET NEIGHBOUR FAST	They will meet my neighbour tomorrow quickly.
1060	LAST-WEEK PT_PRO2 DRINK COFFEE Q	Did you drink coffee last week?
1061	HOW CHILD CLEAN Q	How Will the child clean next week?
1062	WHEN FRIEND CALL Q	When Does my friend call in the morning?
1063	IF WOMAN STUDY THEN WOMAN READY	If the woman studies, then the woman is ready on the weekend.
1064	TOMORROW PT_PRO3 WATCH MOVIE FAST Q	Will they watch a movie tomorrow quickly?
1065	WHO PT_PRO1 TEXT Q	Who Did I text yesterday?
1066	TOMORROW PT_PRO2 LISTEN PODCAST	You will listen to a podcast tomorrow.
1067	TOMORROW PT_PRO3 BUY PHONE	They will buy my phone tomorrow.
1068	NEXT-WEEK PT_PRO1 READ KEY	I will read my keys next week.
1069	FRIEND READ EMAIL RARELY Q	Does my friend read an email rarely?
1070	TODAY PT_PRO1 CLEAN Q	Do I clean today?
1071	MORNING WOMAN CAN BUY MONEY	The woman can buy money in the morning.
1072	WEEKEND PT_PRO1 CAN WORK	I can work on the weekend.
1073	WHAT PT_PRO1 READ Q	What Do I read in the afternoon?
1074	NEIGHBOUR HOT	The neighbour is hot.
1075	NOW PT_PRO2 NOT CLEAN RARELY	You do not clean now rarely.
1076	NEXT-WEEK MAN GO SCHOOL ALWAYS	The man will go to school next week always.
1077	NEXT-WEEK PT_PRO3 NOT COME PARK SLOW	They will not come to the park next week slowly.
1078	NIGHT PT_PRO2 MUST READ SHOES	You must read shoes at night.
1079	LAST-WEEK PT_PRO1 NOT EMAIL MUM	I did not email my mum last week.
1080	NEXT-WEEK PT_PRO2 BUY EMAIL	You will buy an email next week.
1081	WHO PT_PRO1 MEET Q	Who Do I meet at night?
1082	TODAY PT_PRO3 DRINK JUICE Q	Do they drink juice today?
1083	PT_PRO1 NOT LISTEN MOVIE RARELY	I do not listen to a movie rarely.
1084	NOW MAN BAD	The man is bad now.
1085	MORNING PT_PRO2 CALL DAD	You call my dad in the morning.
1086	AFTERNOON PT_PRO3 RUN RARELY	They run in the afternoon rarely.
1087	AFTERNOON PT_PRO3 EAT FOOD	They eat food in the afternoon.
1088	PT_PRO3 WATCH PODCAST	They watch a podcast.
1089	TODAY PT_PRO2 HELP COACH	You help my coach today.
1090	MORNING WOMAN GO PARK	The woman goes to the park in the morning.
1091	LAST-WEEK PT_PRO1 GO GYM	I went to the gym last week.
1092	TOMORROW STUDENT COOK Q	Will the student cook tomorrow?
1093	TOMORROW PT_PRO2 HELP DAD	You will help my dad tomorrow.
1094	TODAY DOCTOR SEE BAG	The doctor sees my bag today.
1095	NIGHT CHILD SEE KEY	The child sees my keys at night.
1096	AFTERNOON PT_PRO1 TRAIN	I train in the afternoon.
1097	MORNING PT_PRO3 EAT PIZZA	They eat pizza in the morning.
1098	TOMORROW PT_PRO3 CAN SEE BOOK Q	They can see a book tomorrow?
1099	WHEN PT_PRO3 STUDY Q	When Will they study next week?
1100	NIGHT PT_PRO2 NOT GO HOME	You do not go to home at night.
1101	PT_PRO3 MUST WATCH MOVIE FAST	They must watch a movie quickly.
1102	AFTERNOON PT_PRO3 CAN PRACTISE Q	They can practise in the afternoon?
1103	WHY PT_PRO3 TRAIN Q	Why Did they train yesterday?
1104	WEEKEND PT_PRO3 NOT SEE MONEY	They do not see money on the weekend.
1105	AFTERNOON COACH CAN RUN	The coach can run in the afternoon.
1106	NIGHT PT_PRO3 GO WORK	They go to work at night.
1107	MORNING PT_PRO1 TEXT COACH ALWAYS	I text my coach in the morning always.
1108	WEEKEND CHILD WAKE-UP SOMETIMES	The child wakes up on the weekend sometimes.
1109	LAST-WEEK PT_PRO1 CALL TEACHER	I called my teacher last week.
1110	AFTERNOON PT_PRO1 WANT BUY BOOK	I want to buy a book in the afternoon.
1111	PT_PRO3 WAKE-UP Q	Do they wake up?
1112	NIGHT PT_PRO1 NOT LISTEN MOVIE	I do not listen to a movie at night.
1113	HOW MAN TRAIN Q	How Does the man train in the morning?
1114	NEXT-WEEK PT_PRO1 DRINK COFFEE	I will drink coffee next week.
1115	NEXT-WEEK PT_PRO1 CLEAN	I will clean next week.
1116	PT_PRO1 DRINK WATER	I drink water.
1117	NIGHT PT_PRO3 MUST COOK	They must cook at night.
1118	WHEN MAN MEET Q	When Does the man meet in the morning?
1119	MORNING STUDENT BUSY	The student is busy in the morning.
1120	TODAY COACH READ EMAIL FAST Q	Does the coach read an email today quickly?
1121	NEXT-WEEK PT_PRO1 LISTEN MOVIE Q	Will I listen to a movie next week?
1122	HOW DOCTOR CLEAN Q	How Does the doctor clean today?
1123	AFTERNOON DOCTOR MEET TEACHER	The doctor meets my teacher in the afternoon.
1124	WHO CHILD CALL Q	Who Does the child call at night?
1125	NIGHT PT_PRO1 BUSY	I am busy at night.
1126	TOMORROW DOCTOR GO CITY	The doctor will go to the city tomorrow.
1127	WEEKEND PT_PRO2 CAN PRACTISE Q	You can practise on the weekend?
1128	PT_PRO1 PRACTISE	I practise.
1129	TOMORROW PT_PRO3 SEE PHONE	They will see my phone tomorrow.
1130	MORNING PT_PRO2 RUN FAST	You run in the morning quickly.
1131	NOW PT_PRO3 EMAIL DAD Q	Do they email my dad now?
1132	NEXT-WEEK PT_PRO1 SLEEP	I will sleep next week.
1133	TODAY PT_PRO1 LISTEN MOVIE Q	Do I listen to a movie today?
1134	PT_PRO1 SEE EMAIL SLOW	I see an email slowly.
1135	WHO PT_PRO3 TEXT Q	Who Do they text at night?
1136	WHERE PT_PRO1 GO Q	Where Did I go last week?
1137	YESTERDAY PT_PRO2 TRAIN	You trained yesterday.
1138	TOMORROW WOMAN HOT	The woman will be hot tomorrow.
1139	IF PT_PRO2 WALK THEN PT_PRO2 TIRED	If you walk, then you are tired.
1140	MORNING PT_PRO3 WAKE-UP SLOW	They wake up in the morning slowly.
1141	TOMORROW PT_PRO1 CLEAN	I will clean tomorrow.
1142	YESTERDAY PT_PRO2 WAKE-UP	You woke up yesterday.
1143	YESTERDAY PT_PRO1 NOT BUY CAR	I did not buy a car yesterday.
1144	WHO TEACHER MEET Q	Who Does the teacher meet?
1145	LAST-WEEK NEIGHBOUR NOT HELP NEIGHBOUR	The neighbour did not help my neighbour last week.
1146	TOMORROW PT_PRO1 WATCH MUSIC	I will watch music tomorrow.
1147	NEXT-WEEK STUDENT MUST COOK Q	The student must cook next week?
1148	LAST-WEEK PT_PRO1 NOT WATCH MOVIE	I did not watch a movie last week.
1149	TODAY PT_PRO1 WORK	I work today.
1150	TOMORROW PT_PRO1 BUY MESSAGE SLOW	I will buy a message tomorrow slowly.
1151	WEEKEND PT_PRO1 RUN Q	Do I run on the weekend?
1152	AFTERNOON PT_PRO2 GO BEACH ALWAYS	You go to the beach in the afternoon always.
1153	WHY COACH STUDY Q	Why Does the coach study at night?
1154	AFTERNOON PT_PRO3 READY	They are ready in the afternoon.
1155	WEEKEND PT_PRO2 NOT RUN	You do not run on the weekend.
1156	LAST-WEEK PT_PRO3 COME GYM	They came to the gym last week.
1157	AFTERNOON PT_PRO2 WANT CALL COACH	You want to call my coach in the afternoon.
1158	NOW MAN RUN FAST	The man runs now quickly.
1159	MORNING CHILD WANT EAT APPLE	The child wants to eat an apple in the morning.
1160	IF NIGHT PT_PRO3 TRAIN THEN PT_PRO3 BUSY	If they train, then they are busy.
1161	WHEN PT_PRO1 HELP TEACHER Q	When Do I help in the afternoon?
1162	MORNING PT_PRO3 MUST STUDY SLOW Q	They must study in the morning slowly?
1163	WHY PT_PRO2 TRAIN Q	Why Do you train on the weekend?
1164	NIGHT PT_PRO2 HELP TEACHER Q	Do you help my teacher at night?
1165	TOMORROW PT_PRO3 RUN Q	Will they run tomorrow?
1166	LAST-WEEK PT_PRO3 WALK	They walked last week.
1167	TODAY PT_PRO2 WATCH MOVIE	You watch a movie today.
1168	WEEKEND PT_PRO2 WANT NOT HELP FRIEND	You do not want to help my friend on the weekend.
1169	AFTERNOON PT_PRO1 EMAIL NEIGHBOUR Q	Do I email my neighbour in the afternoon?
1170	PT_PRO2 DRINK COFFEE Q	Do you drink coffee?
1171	NIGHT PT_PRO1 NOT READ BOOK	I do not read a book at night.
1172	IF PT_PRO3 TRAIN THEN PT_PRO3 HOT	If they train, then they are hot.
1173	TOMORROW PT_PRO2 LISTEN MUSIC Q	Will you listen to music tomorrow?
1174	PT_PRO3 CAN COOK	They can cook.
1175	YESTERDAY PT_PRO1 RUN Q	Did I run yesterday?
1176	LAST-WEEK PT_PRO1 SLEEP	I slept last week.
1177	IF PT_PRO3 STUDY THEN PT_PRO3 SICK	If they study, then they are sick.
1178	YESTERDAY PT_PRO3 RUN SLOW	They ran yesterday slowly.
1179	YESTERDAY MAN STUDY Q	Did the man study yesterday?
1180	YESTERDAY PT_PRO3 NOT MEET MUM	They did not meet my mum yesterday.
1181	NEXT-WEEK DOCTOR GOOD	The doctor will be good next week.
1182	MORNING PT_PRO1 BUY MONEY	I buy money in the morning.
1183	NIGHT TEACHER GO SCHOOL	The teacher goes to school at night.
1184	WEEKEND PT_PRO2 MUST WALK	You must walk on the weekend.
1185	TODAY PT_PRO2 SLEEP Q	Do you sleep today?
1186	NIGHT PT_PRO1 HELP FRIEND	I help my friend at night.
1187	DOCTOR HELP TEACHER	The doctor helps my teacher.
1188	WHEN PT_PRO2 CLEAN Q	When Did you clean yesterday?
